Ticker,Pattern_Type,Start_Date,End_Date,Depths_Percent
AACG,2_Contractions,2024-06-26,2025-02-07,"41.86%, 35.78%, 25.96%"
AACG,2_Contractions,2025-02-25,2025-06-06,"35.45%, 26.61%, 21.00%"
AACG,3_Contractions,2025-02-25,2025-07-17,"35.45%, 26.61%, 21.00%, 13.04%"
AAL,2_Contractions,2025-02-07,2025-04-21,"39.83%, 29.58%, 20.21%"
AAL,3_Contractions,2025-02-07,2025-05-23,"39.83%, 29.58%, 20.21%, 11.49%"
AAOI,2_Contractions,2025-10-29,2026-01-08,"52.55%, 27.67%, 24.52%"
AAPG,2_Contractions,2025-04-03,2025-05-30,"26.92%, 14.89%, 13.15%"
AAPG,2_Contractions,2025-07-03,2025-08-12,"17.21%, 13.00%, 8.75%"
ABCL,2_Contractions,2025-01-07,2025-02-12,"20.49%, 19.70%, 15.79%"
ABCL,2_Contractions,2025-10-08,2026-01-02,"48.89%, 13.99%, 12.57%"
AAPL,2_Contractions,2025-03-31,2025-05-23,"25.00%, 9.93%, 9.57%"
AAPL,3_Contractions,2025-03-31,2025-06-18,"25.00%, 9.93%, 9.57%, 5.42%"
AAPL,2_Contractions,2025-09-05,2025-11-18,"6.37%, 5.88%, 4.23%"
ABNB,3_Contractions,2024-11-07,2025-01-27,"12.63%, 10.24%, 7.91%, 7.37%"
ABNB,2_Contractions,2025-02-14,2025-06-23,"27.32%, 23.76%, 11.70%"
ABSI,3_Contractions,2024-11-11,2025-02-03,"45.13%, 44.19%, 37.09%, 22.73%"
ABSI,2_Contractions,2025-02-18,2025-05-23,"54.74%, 39.46%, 29.86%"
ABSI,3_Contractions,2025-02-18,2025-07-01,"54.74%, 39.46%, 29.86%, 24.09%"
ABSI,3_Contractions,2025-03-17,2025-07-15,"39.46%, 29.86%, 24.09%, 12.64%"
ABL,2_Contractions,2025-01-02,2025-03-10,"15.94%, 12.76%, 12.12%"
ABL,2_Contractions,2025-05-09,2025-09-11,"52.13%, 15.48%, 13.65%"
ABUS,2_Contractions,2024-10-16,2025-02-03,"28.51%, 11.58%, 8.12%"
ABUS,2_Contractions,2025-04-02,2025-06-30,"24.93%, 21.18%, 16.71%"
ABUS,3_Contractions,2025-04-02,2025-07-18,"24.93%, 21.18%, 16.71%, 8.33%"
ABUS,3_Contractions,2025-05-02,2025-08-15,"21.18%, 16.71%, 8.33%, 6.76%"
ABP,2_Contractions,2024-11-06,2025-04-08,"92.69%, 82.44%, 80.09%"
ABP,3_Contractions,2024-11-06,2025-05-14,"92.69%, 82.44%, 80.09%, 57.78%"
ABP,3_Contractions,2024-12-27,2025-05-23,"82.44%, 80.09%, 57.78%, 47.37%"
ABP,3_Contractions,2025-02-18,2025-07-03,"80.09%, 57.78%, 47.37%, 42.21%"
ABP,2_Contractions,2025-09-03,2025-11-03,"39.00%, 37.09%, 32.61%"
ABP,3_Contractions,2025-09-03,2025-11-17,"39.00%, 37.09%, 32.61%, 17.59%"
ABVE,2_Contractions,2025-06-17,2025-08-19,"81.24%, 63.61%, 25.22%"
ABTS,2_Contractions,2025-10-02,2025-11-21,"46.29%, 38.86%, 25.74%"
ABVX,2_Contractions,2025-06-04,2025-08-20,"33.91%, 11.15%, 9.13%"
ABVX,2_Contractions,2025-09-05,2025-11-13,"13.78%, 11.19%, 6.94%"
ACAD,3_Contractions,2024-11-11,2025-02-11,"16.30%, 14.59%, 14.34%, 6.26%"
ACAD,2_Contractions,2025-02-21,2025-07-07,"35.20%, 16.61%, 10.71%"
AARD,2_Contractions,2025-03-27,2025-06-17,"52.99%, 37.32%, 10.52%"
AARD,2_Contractions,2025-07-25,2025-11-21,"50.56%, 47.94%, 23.37%"
AARD,3_Contractions,2025-07-25,2025-12-18,"50.56%, 47.94%, 23.37%, 19.38%"
AARD,3_Contractions,2025-10-08,2026-01-02,"47.94%, 23.37%, 19.38%, 18.46%"
ABAT,2_Contractions,2024-12-27,2025-04-07,"70.07%, 47.88%, 29.51%"
