Ticker,Close,SMR_Rating,RS_Rating,Raw_RS_Score,Is_Blue_Sky,RS_Line_New_High,Price_In_Base,Above_AVWAP,VCP_Tightness,Volume_DryUp
HL,19.190000534057617,B,99,173.2665193847349,True,True,True,False,False,False
HL,19.190000534057617,B,98,173.26651205912611,True,True,True,False,False,False
IAG,16.489999771118164,A,96,111.02994988479955,True,True,True,False,True,True
IAG,16.489999771118164,A,96,111.02994988479955,True,True,True,False,True,True
AU,85.27999877929688,A,95,109.35900192816388,True,True,True,False,True,True
AU,85.27999877929688,A,94,109.35899040088114,True,True,True,False,True,True
HUT,45.939998626708984,A,93,104.03404901581615,False,True,False,True,False,True
HUT,45.939998626708984,A,93,104.03404901581615,False,True,False,True,False,True
CDE,17.829999923706055,B,91,103.19513172586625,False,True,False,True,False,False
CDE,17.829999923706055,B,91,103.19513172586625,False,True,False,True,False,False
DRD,31.010000228881836,A,90,102.74905328636149,True,True,True,False,True,True
DRD,31.010000228881836,A,90,102.74905328636149,True,True,True,False,True,True
HBM,19.850000381469727,B,88,87.90395237159305,True,True,True,True,True,False
HBM,19.850000381469727,B,88,87.90395237159305,True,True,True,True,True,False
SVM,8.34000015258789,A,86,86.44966156607076,True,True,True,False,False,True
SVM,8.34000015258789,A,86,86.44966156607076,True,True,True,False,False,True
KGC,28.15999984741211,A,85,86.22480762071105,True,True,True,False,True,True
KGC,28.15999984741211,A,85,86.22480762071105,True,True,True,False,True,True
GFI,43.65999984741211,A,83,82.86599915021033,True,True,True,False,True,True
GFI,43.65999984741211,A,83,82.86599915021033,True,True,True,False,True,True
PAAS,51.810001373291016,B,82,80.19689436336499,True,True,True,False,True,True
PAAS,51.810001373291016,B,81,80.19688961667538,True,True,True,False,True,True
NEM,99.8499984741211,A,80,75.53841902195421,True,True,True,False,True,True
