Ticker,Close,SMR_Rating,SMR_Rating_Value,RS_Rating,Raw_RS_Score,Is_Blue_Sky,RS_Line_New_High,Price_In_Base,Above_AVWAP,VCP_Tightness,Volume_DryUp
MU,312.1499938964844,A,100,99,177.18313878033652,False,False,True,False,False,False
ELVA,8.479999542236328,B,77,96,142.8571497491129,False,True,False,True,False,False
LRCX,194.75999450683594,A,100,94,107.86168616162183,False,True,False,True,True,False
ASA,60.77000045776367,A,100,92,95.30687604024229,False,False,True,True,True,False
TORO,5.5,B,60,90,91.6107441647471,False,False,True,True,False,True
SAN,12.09000015258789,B,72,88,66.70497985821888,False,False,False,True,True,False
CMRE,15.350000381469727,A,93,86,42.35076806258348,False,False,True,False,True,False
MS,186.5399932861328,A,87,84,39.73734762116499,False,True,False,True,True,False
ORA,114.72000122070312,B,63,82,38.37602409772425,False,False,True,False,True,False
NRIM,27.149999618530273,A,99,80,34.93804079624344,False,False,True,False,True,False
