Date,New_Lows,Total_Issues,New_Lows_Ratio
2011-02-07,0,2488,0.0
2011-02-08,0,2488,0.0
2011-02-09,0,2490,0.0
2011-02-10,0,2491,0.0
2011-02-11,0,2493,0.0
2011-02-14,0,2493,0.0
2011-02-15,0,2493,0.0
2011-02-16,0,2493,0.0
2011-02-17,0,2493,0.0
2011-02-18,0,2493,0.0
2011-02-22,0,2493,0.0
2011-02-23,0,2493,0.0
2011-02-24,0,2493,0.0
2011-02-25,0,2493,0.0
2011-02-28,0,2493,0.0
2011-03-01,0,2493,0.0
2011-03-02,0,2493,0.0
2011-03-03,0,2493,0.0
2011-03-04,0,2493,0.0
2011-03-07,0,2493,0.0
2011-03-08,0,2493,0.0
2011-03-09,0,2493,0.0
2011-03-10,0,2494,0.0
2011-03-11,0,2495,0.0
2011-03-14,0,2495,0.0
2011-03-15,0,2495,0.0
2011-03-16,0,2495,0.0
2011-03-17,0,2495,0.0
2011-03-18,0,2495,0.0
2011-03-21,0,2495,0.0
2011-03-22,0,2496,0.0
2011-03-23,0,2497,0.0
2011-03-24,0,2497,0.0
2011-03-25,0,2497,0.0
2011-03-28,0,2497,0.0
2011-03-29,0,2498,0.0
2011-03-30,0,2499,0.0
2011-03-31,0,2499,0.0
2011-04-01,0,2499,0.0
2011-04-04,0,2499,0.0
2011-04-05,0,2499,0.0
2011-04-06,0,2499,0.0
2011-04-07,0,2499,0.0
2011-04-08,0,2501,0.0
2011-04-11,0,2501,0.0
2011-04-12,0,2502,0.0
2011-04-13,0,2502,0.0
2011-04-14,0,2503,0.0
2011-04-15,0,2504,0.0
2011-04-18,183,2504,7.308306709265176
2011-04-19,143,2506,5.706304868316042
2011-04-20,93,2506,3.711093375897845
2011-04-21,61,2507,2.433187076186677
2011-04-25,72,2507,2.8719585161547667
2011-04-26,63,2507,2.512963701635421
2011-04-27,59,2507,2.353410450737934
2011-04-28,72,2509,2.869669190912714
2011-04-29,56,2509,2.2319649262654444
2011-05-02,67,2509,2.670386608210442
2011-05-03,107,2509,4.264647269828617
2011-05-04,151,2509,6.018333997608609
2011-05-05,182,2510,7.250996015936255
2011-05-06,95,2511,3.7833532457188372
2011-05-09,111,2511,4.4205495818399045
2011-05-10,61,2511,2.429311031461569
2011-05-11,93,2513,3.700756068444091
2011-05-12,140,2513,5.571030640668524
2011-05-13,126,2513,5.013927576601671
2011-05-16,174,2515,6.918489065606362
2011-05-17,251,2515,9.980119284294235
2011-05-18,101,2515,4.0159045725646125
2011-05-19,92,2515,3.6580516898608346
2011-05-20,142,2516,5.643879173290938
2011-05-23,257,2516,10.214626391096978
2011-05-24,207,2516,8.227344992050874
2011-05-25,195,2516,7.750397456279809
2011-05-26,98,2516,3.8950715421303657
2011-05-27,44,2517,1.7481128327373858
2011-05-31,51,2517,2.026221692491061
2011-06-01,162,2517,6.436233611442193
2011-06-02,186,2518,7.386814932486101
2011-06-03,271,2518,10.762509928514694
2011-06-06,359,2518,14.25734710087371
2011-06-07,238,2518,9.451945988880063
2011-06-08,400,2518,15.885623510722796
2011-06-09,239,2518,9.49166004765687
2011-06-10,465,2518,18.46703733121525
2011-06-13,369,2519,14.64867010718539
2011-06-14,97,2520,3.8492063492063493
2011-06-15,269,2520,10.674603174603174
2011-06-16,310,2521,12.296707655692185
2011-06-17,176,2521,6.9813566045220155
2011-06-20,198,2521,7.854026180087267
2011-06-21,58,2523,2.2988505747126435
2011-06-22,63,2523,2.4970273483947683
2011-06-23,178,2523,7.055093143083631
2011-06-24,111,2524,4.397781299524564
2011-06-27,107,2524,4.239302694136292
2011-06-28,57,2524,2.2583201267828845
2011-06-29,52,2524,2.0602218700475436
2011-06-30,45,2525,1.782178217821782
2011-07-01,31,2525,1.2277227722772277
2011-07-05,41,2525,1.6237623762376239
2011-07-06,38,2525,1.504950495049505
2011-07-07,30,2525,1.188118811881188
2011-07-08,35,2526,1.3855898653998415
2011-07-11,63,2526,2.494061757719715
2011-07-12,77,2526,3.0482977038796517
2011-07-13,53,2526,2.098178939034046
2011-07-14,105,2526,4.156769596199525
2011-07-15,130,2526,5.146476642913698
2011-07-18,211,2526,8.353127474267618
2011-07-19,69,2526,2.7315914489311166
2011-07-20,51,2527,2.0182034032449545
2011-07-21,54,2528,2.1360759493670884
2011-07-22,45,2528,1.7800632911392407
2011-07-25,72,2528,2.848101265822785
2011-07-26,95,2528,3.757911392405063
2011-07-27,226,2530,8.932806324110672
2011-07-28,240,2531,9.482418016594231
2011-07-29,343,2531,13.55195574871592
2011-08-01,239,2532,9.439178515007898
2011-08-02,456,2532,18.009478672985782
2011-08-03,639,2532,25.23696682464455
2011-08-04,852,2532,33.649289099526065
2011-08-05,1116,2532,44.07582938388626
2011-08-08,1523,2532,60.150078988941544
2011-08-09,1070,2532,42.25908372827804
2011-08-10,342,2532,13.507109004739338
