Ticker,Exchange
FHB,NASDAQ
RDN,NYSE
TTGT,NASDAQ
BMRA,NASDAQ
TEF,NYSE
LAKE,NASDAQ
EE,NYSE
LOPE,NASDAQ
ITGR,NYSE
ISRG,NASDAQ
ESGL,NASDAQ
MQY,NYSE
VERU,NASDAQ
ETR,NYSE
MVIS,NASDAQ
ZTEK,NASDAQ
DRTS,NASDAQ
PLUG,NASDAQ
BGMS,NASDAQ
HOPE,NASDAQ
FLNG,NYSE
GAM,NYSE
IOTR,NASDAQ
SAP,NYSE
CHDN,NASDAQ
USIO,NASDAQ
SRRK,NASDAQ
BAK,NYSE
NMIH,NASDAQ
ELTX,NASDAQ
XNCR,NASDAQ
XRAY,NASDAQ
RYOJ,NASDAQ
AIZN,NYSE
ALOT,NASDAQ
RLI,NYSE
BFST,NASDAQ
VICI,NYSE
ALEC,NASDAQ
ZTO,NYSE
IVVD,NASDAQ
DFDV,NASDAQ
SLB,NYSE
NREF,NYSE
FTI,NYSE
FG,NYSE
WTS,NYSE
EOT,NYSE
CLLS,NASDAQ
RR,NASDAQ
GEHC,NASDAQ
EHI,NYSE
CWST,NASDAQ
SNCY,NASDAQ
GEV,NYSE
GWRE,NYSE
BPRN,NASDAQ
SYF,NYSE
ASRV,NASDAQ
QNRX,NASDAQ
NEXT,NASDAQ
EYPT,NASDAQ
NCT,NASDAQ
ARWR,NASDAQ
OXBR,NASDAQ
MFIC,NASDAQ
III,NASDAQ
BLKB,NASDAQ
HASI,NYSE
OSCX,NASDAQ
NIM,NYSE
STEP,NASDAQ
GSUN,NASDAQ
AVBC,NYSE
VUZI,NASDAQ
RRBI,NASDAQ
ENO,NYSE
GRMN,NYSE
XERS,NASDAQ
RLJ,NYSE
WVVI,NASDAQ
APM,NASDAQ
STGW,NASDAQ
USFD,NYSE
LPG,NYSE
EPAM,NYSE
HUDI,NASDAQ
ALDX,NASDAQ
OST,NASDAQ
DXC,NYSE
BAFN,NASDAQ
CHEF,NASDAQ
GLAD,NASDAQ
TARS,NASDAQ
EBS,NYSE
CUZ,NYSE
MGPI,NASDAQ
KFRC,NYSE
CTRE,NYSE
TTC,NYSE
